_dataobs_,Race,Race_Label,Signs_Of_Mental_Illness,Body_Camera,Day,Month,Threat_Level,Region,REP_Armed_Category,REP_Flee,REP_Mental_Illness,F_Signs_Of_Mental_Illness,I_Signs_Of_Mental_Illness,_WARN_,_NODE_,P_Signs_Of_Mental_Illness0,P_Signs_Of_Mental_Illness1,Q_Signs_Of_Mental_Illness0,Q_Signs_Of_Mental_Illness1,V_Signs_Of_Mental_Illness0,V_Signs_Of_Mental_Illness1,R_Signs_Of_Mental_Illness0,R_Signs_Of_Mental_Illness1,U_Signs_Of_Mental_Illness
1,0,White,0,0,2,1,Attack,West,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
2,0,Hispanic,0,0,3,1,Other,Midwest,Unarmed,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
3,0,Hispanic,0,0,4,1,Attack,West,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
4,0,White,0,0,4,1,Attack,Southwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
5,0,Hispanic,0,0,5,1,Attack,Southwest,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
6,0,White,0,0,6,1,Attack,Midwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
7,0,White,0,1,6,1,Other,Midwest,Unarmed,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
8,1,Black,0,0,6,1,Attack,Northeast,Toy Weapon,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
9,0,White,0,0,6,1,Attack,West,Sharp Weapon,Not fleeing,No,0,0,,35,0.67768595,0.32231405,0.67768595,0.32231405,0.475,0.525,0.32231405,-0.32231405,0
10,0,Hispanic,0,0,26,1,Other,West,Vehicle,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
11,1,Black,0,0,7,1,Attack,Southwest,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
12,0,White,0,0,7,1,Attack,Midwest,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
13,1,Black,0,1,7,1,Attack,Southeast,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
14,0,White,0,0,8,1,Undetermined,West,Undetermined,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
15,0,White,0,1,8,1,Attack,West,Blunt Weapon,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
16,1,Black,0,0,8,1,Attack,Southeast,Unarmed,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
17,0,White,0,1,8,1,Attack,West,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
18,0,White,0,0,9,1,Attack,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
19,0,Hispanic,0,0,11,1,Attack,West,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
20,0,Hispanic,0,0,11,1,Attack,West,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
21,0,White,0,1,13,1,Attack,Southwest,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
22,1,Black,0,0,14,1,Attack,Midwest,Undetermined,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
23,0,White,0,0,14,1,Attack,Midwest,Undetermined,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
24,0,White,0,0,14,1,Attack,Northeast,Sharp Weapon,Not fleeing,No,0,0,,35,0.67768595,0.32231405,0.67768595,0.32231405,0.475,0.525,0.32231405,-0.32231405,0
25,0,White,0,0,14,1,Attack,Southwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
26,0,White,0,1,14,1,Attack,West,Sharp Weapon,Not fleeing,No,0,0,,35,0.67768595,0.32231405,0.67768595,0.32231405,0.475,0.525,0.32231405,-0.32231405,0
27,1,Black,0,0,15,1,Attack,Midwest,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
28,1,Black,0,0,15,1,Attack,West,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
29,0,White,0,0,15,1,Attack,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
30,0,White,0,0,16,1,Attack,Southwest,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
31,0,Other,0,0,16,1,Other,West,Sharp Weapon,Not fleeing,No,0,0,,21,0.6,0.4,0.6,0.4,0.5375,0.4625,0.4,-0.4,0
32,1,Black,0,1,17,1,Attack,Southwest,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
33,0,Hispanic,0,0,17,1,Attack,West,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
34,0,Hispanic,0,0,17,1,Attack,Southwest,Sharp Weapon,Not fleeing,No,0,0,,21,0.6,0.4,0.6,0.4,0.5375,0.4625,0.4,-0.4,0
35,0,White,0,0,19,1,Attack,Northeast,Sharp Weapon,Not fleeing,No,0,0,,35,0.67768595,0.32231405,0.67768595,0.32231405,0.475,0.525,0.32231405,-0.32231405,0
36,1,Black,0,0,20,1,Other,Southwest,Undetermined,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
37,0,White,0,0,21,1,Attack,West,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
38,0,Hispanic,0,0,21,1,Attack,Southwest,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
39,1,Black,0,0,21,1,Attack,Midwest,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
40,1,Black,0,0,22,1,Attack,Southwest,Toy Weapon,Car,No,0,0,,12,0.669565217,0.330434783,0.669565217,0.330434783,0.731707317,0.268292683,0.330434783,-0.330434783,0
41,1,Black,0,0,23,1,Other,Southeast,Undetermined,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
42,0,Hispanic,0,0,23,1,Other,Southwest,Sharp Weapon,Not fleeing,No,0,0,,21,0.6,0.4,0.6,0.4,0.5375,0.4625,0.4,-0.4,0
43,0,White,0,0,24,1,Attack,West,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
44,0,Hispanic,0,0,25,1,Attack,West,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
45,0,White,0,0,30,1,Attack,West,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
46,0,White,0,0,2,2,Other,Northeast,Unarmed,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
47,1,Black,0,0,4,2,Attack,Southeast,Unarmed,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
48,1,Black,0,0,3,2,Attack,Midwest,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
49,1,Black,0,0,3,2,Attack,West,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
50,0,Hispanic,0,0,4,2,Attack,Southeast,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
51,0,Hispanic,0,0,4,2,Attack,Southwest,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
52,0,Hispanic,0,0,4,2,Other,Southwest,Unarmed,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
53,1,Black,0,0,4,2,Attack,Southwest,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
54,1,Black,0,0,4,2,Other,Southeast,Sharp Weapon,Not fleeing,No,0,0,,21,0.6,0.4,0.6,0.4,0.5375,0.4625,0.4,-0.4,0
55,0,White,0,0,5,2,Other,West,Toy Weapon,Car,No,0,0,,12,0.669565217,0.330434783,0.669565217,0.330434783,0.731707317,0.268292683,0.330434783,-0.330434783,0
56,1,Black,0,0,6,2,Attack,Southwest,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
57,0,White,0,0,17,2,Attack,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
58,0,White,0,0,8,2,Attack,West,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
59,0,White,0,0,8,2,Attack,Southwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
60,0,White,0,0,8,2,Attack,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
61,0,White,0,0,8,2,Attack,Southwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
62,1,Black,0,0,9,2,Attack,Southwest,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
63,1,Black,0,0,10,2,Attack,Southeast,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
64,0,White,0,0,13,2,Attack,West,Undetermined,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
65,0,Hispanic,0,0,13,2,Attack,Midwest,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
66,0,Hispanic,0,0,13,2,Other,Northeast,Unarmed,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
67,0,White,0,0,13,2,Attack,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
68,0,White,0,0,15,2,Attack,Southeast,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
69,0,White,0,0,14,2,Attack,Southwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
70,0,White,0,0,16,2,Attack,Southwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
71,0,White,0,0,16,2,Attack,West,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
72,0,White,0,0,17,2,Other,Midwest,Unarmed,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
73,0,White,0,0,17,2,Attack,Midwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
74,0,White,0,0,17,2,Attack,Northeast,Toy Weapon,Foot,No,0,0,,12,0.669565217,0.330434783,0.669565217,0.330434783,0.731707317,0.268292683,0.330434783,-0.330434783,0
75,0,Hispanic,0,0,17,2,Other,Southwest,Undetermined,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
76,0,Hispanic,0,0,20,2,Other,Southwest,Unarmed,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
77,1,Black,0,0,20,2,Attack,Southeast,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
78,0,White,0,0,21,2,Attack,Southwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
79,0,White,0,0,21,2,Attack,Midwest,Sharp Weapon,Not fleeing,No,0,0,,69,0.509933775,0.490066225,0.509933775,0.490066225,0.5625,0.4375,0.490066225,-0.490066225,0
80,0,White,0,0,22,2,Attack,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
81,0,White,0,0,23,2,Other,Southeast,Sharp Weapon,Not fleeing,No,0,0,,69,0.509933775,0.490066225,0.509933775,0.490066225,0.5625,0.4375,0.490066225,-0.490066225,0
82,0,White,0,0,23,2,Attack,Southeast,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
83,1,Black,0,0,23,2,Attack,Southeast,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
84,1,Black,0,0,25,2,Other,Southwest,Undetermined,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
85,0,White,0,0,26,2,Other,Midwest,Unarmed,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
86,0,Hispanic,0,0,26,2,Attack,Southeast,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
87,0,Hispanic,0,0,26,2,Other,West,Sharp Weapon,Not fleeing,No,0,0,,21,0.6,0.4,0.6,0.4,0.5375,0.4625,0.4,-0.4,0
88,0,White,0,0,26,2,Other,Southeast,Unarmed,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
89,0,White,0,0,26,2,Attack,Southeast,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
90,0,Hispanic,0,0,27,2,Other,West,Unarmed,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
91,0,White,0,0,28,2,Attack,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
92,0,White,0,1,28,2,Attack,Midwest,Unarmed,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
93,1,Black,0,0,28,2,Other,Midwest,Unarmed,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
94,0,Hispanic,0,0,28,2,Other,Southwest,Sharp Weapon,Not fleeing,No,0,0,,21,0.6,0.4,0.6,0.4,0.5375,0.4625,0.4,-0.4,0
95,1,Black,0,0,28,2,Attack,Midwest,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
96,0,White,0,0,28,2,Attack,Southwest,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
97,1,Asian,0,0,1,3,Attack,Southwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
98,1,Black,0,0,2,3,Other,Midwest,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
99,1,Black,0,0,3,3,Attack,Southeast,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
100,0,White,0,0,3,3,Attack,Southwest,Sharp Weapon,Not fleeing,No,0,0,,35,0.67768595,0.32231405,0.67768595,0.32231405,0.475,0.525,0.32231405,-0.32231405,0
101,0,White,0,0,4,3,Other,Southeast,Unarmed,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
102,0,Hispanic,0,0,5,3,Other,West,Unarmed,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
103,0,White,0,0,5,3,Attack,Midwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
104,1,Black,0,0,6,3,Attack,Midwest,Unarmed,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
105,1,Black,0,1,10,3,Attack,Midwest,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
106,0,Hispanic,0,0,13,3,Other,West,Gun,Undetermined,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
107,0,White,0,0,14,3,Other,Southeast,Sharp Weapon,Not fleeing,No,0,0,,35,0.67768595,0.32231405,0.67768595,0.32231405,0.475,0.525,0.32231405,-0.32231405,0
108,0,White,0,0,14,3,Attack,Midwest,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
109,0,White,0,0,15,3,Other,Southeast,Sharp Weapon,Not fleeing,No,0,0,,35,0.67768595,0.32231405,0.67768595,0.32231405,0.475,0.525,0.32231405,-0.32231405,0
110,0,White,0,0,17,3,Attack,Southeast,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
111,0,White,0,0,18,3,Attack,Southwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
112,0,White,0,0,18,3,Attack,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
113,1,Black,0,0,19,3,Attack,Midwest,Unarmed,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
114,0,White,0,1,19,3,Attack,West,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
115,1,Black,0,0,22,3,Attack,Northeast,Undetermined,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
116,0,White,0,0,21,3,Attack,Southwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
117,1,Black,0,0,23,3,Attack,West,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
118,1,Black,0,1,25,3,Other,Southeast,Undetermined,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
119,1,Black,0,0,25,3,Attack,Southeast,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
120,0,Hispanic,0,0,25,3,Attack,West,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
121,1,Black,0,0,27,3,Other,West,Sharp Weapon,Not fleeing,No,0,0,,21,0.6,0.4,0.6,0.4,0.5375,0.4625,0.4,-0.4,0
122,0,White,0,0,26,3,Attack,Midwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
123,1,Black,0,0,11,3,Other,Southeast,Undetermined,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
124,1,Asian,0,0,4,3,Attack,West,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
125,0,White,0,0,27,3,Attack,Southeast,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
126,1,Black,0,0,29,3,Attack,Southeast,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
127,1,Black,0,0,27,3,Attack,Northeast,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
128,1,Black,0,0,27,3,Other,Southeast,Sharp Weapon,Not fleeing,No,0,0,,21,0.6,0.4,0.6,0.4,0.5375,0.4625,0.4,-0.4,0
129,0,Hispanic,0,0,27,3,Attack,West,Toy Weapon,Car,No,0,0,,12,0.669565217,0.330434783,0.669565217,0.330434783,0.731707317,0.268292683,0.330434783,-0.330434783,0
130,0,White,0,0,31,3,Attack,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
131,0,Hispanic,0,0,31,3,Attack,Southwest,Toy Weapon,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
132,1,Black,0,0,31,3,Other,Southeast,Vehicle,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
133,0,White,0,0,29,3,Attack,Midwest,Undetermined,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
134,1,Black,0,0,19,3,Attack,Southeast,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
135,0,White,0,0,23,2,Attack,Northeast,Sharp Weapon,Car,No,0,0,,12,0.669565217,0.330434783,0.669565217,0.330434783,0.731707317,0.268292683,0.330434783,-0.330434783,0
136,1,Black,0,0,1,4,Attack,West,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
137,0,White,0,0,1,3,Attack,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
138,1,Black,0,0,6,3,Other,West,Unarmed,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
139,1,Black,0,0,6,3,Other,Southeast,Undetermined,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
140,0,White,0,0,7,3,Attack,Southwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
141,0,Hispanic,0,0,8,3,Attack,Southwest,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
142,0,White,0,0,8,3,Attack,Southeast,Undetermined,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
143,0,White,0,0,9,3,Attack,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
144,0,White,0,0,9,3,Attack,West,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
145,1,Black,0,0,9,3,Attack,Southeast,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
146,1,Black,0,0,10,3,Attack,Southeast,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
