_dataobs_,Race,Race_Label,Signs_Of_Mental_Illness,Body_Camera,Day,Month,Threat_Level,Region,REP_Armed_Category,REP_Flee,REP_Mental_Illness,F_Signs_Of_Mental_Illness,I_Signs_Of_Mental_Illness,_WARN_,_NODE_,P_Signs_Of_Mental_Illness0,P_Signs_Of_Mental_Illness1,Q_Signs_Of_Mental_Illness0,Q_Signs_Of_Mental_Illness1,V_Signs_Of_Mental_Illness0,V_Signs_Of_Mental_Illness1,R_Signs_Of_Mental_Illness0,R_Signs_Of_Mental_Illness1,U_Signs_Of_Mental_Illness
3378,1,Asian,0,1,15,12,Attack,Midwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
3379,0,White,0,0,14,12,Attack,Southwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
3380,1,Black,0,0,14,12,Attack,Midwest,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
3381,0,Hispanic,0,0,14,12,Attack,West,Sharp Weapon,Not fleeing,No,0,0,,41,0.793478261,0.206521739,0.793478261,0.206521739,0.742857143,0.257142857,0.206521739,-0.206521739,0
3382,1,Black,0,0,12,12,Other,Midwest,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3383,0,White,0,0,12,12,Attack,Southwest,Sharp Weapon,Car,No,0,0,,27,0.893333333,0.106666667,0.893333333,0.106666667,0.724137931,0.275862069,0.106666667,-0.106666667,0
3384,1,Black,0,1,12,12,Other,West,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
3385,0,White,0,0,12,12,Other,West,Toy Weapon,Not fleeing,No,0,0,,33,0.692307692,0.307692308,0.692307692,0.307692308,0.857142857,0.142857143,0.307692308,-0.307692308,0
3386,0,White,0,0,18,12,Attack,Southwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
3387,0,White,0,0,17,12,Attack,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
3388,0,White,0,0,17,12,Attack,Southeast,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3389,0,Other,0,1,17,12,Attack,West,Sharp Weapon,Undetermined,No,0,0,,27,0.893333333,0.106666667,0.893333333,0.106666667,0.724137931,0.275862069,0.106666667,-0.106666667,0
3390,0,Other,0,0,16,12,Attack,West,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3391,0,Hispanic,0,0,16,12,Attack,West,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3392,0,Hispanic,0,0,15,12,Attack,Southwest,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
3393,0,White,0,0,19,12,Other,Southeast,Sharp Weapon,Undetermined,No,0,0,,27,0.893333333,0.106666667,0.893333333,0.106666667,0.724137931,0.275862069,0.106666667,-0.106666667,0
3394,0,Hispanic,0,0,16,12,Undetermined,West,Undetermined,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3395,1,Black,0,0,12,12,Attack,Southeast,Sharp Weapon,Not fleeing,No,0,0,,41,0.793478261,0.206521739,0.793478261,0.206521739,0.742857143,0.257142857,0.206521739,-0.206521739,0
3396,1,Black,0,0,20,12,Attack,Southwest,Other Weapon,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
3397,1,Black,0,0,22,12,Attack,Northeast,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3398,0,White,0,0,21,12,Attack,West,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3399,0,White,0,0,22,12,Attack,West,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
3400,0,White,0,0,21,12,Attack,Southeast,Blunt Weapon,Foot,No,0,0,,27,0.893333333,0.106666667,0.893333333,0.106666667,0.724137931,0.275862069,0.106666667,-0.106666667,0
3401,1,Black,0,0,19,12,Attack,Northeast,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3402,0,White,0,0,20,12,Attack,Midwest,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
3403,1,Black,0,0,20,12,Attack,Southeast,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
3404,1,Black,0,0,19,12,Attack,Southeast,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3405,1,Black,0,0,30,12,Attack,Southwest,Gun,Undetermined,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3406,0,White,0,0,29,12,Other,West,Other Weapon,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
3407,1,Black,0,0,26,12,Other,Southeast,Undetermined,Undetermined,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3408,0,White,0,0,28,12,Other,Southwest,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3409,0,White,0,0,28,12,Attack,Southeast,Undetermined,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
3410,0,Hispanic,0,0,23,12,Attack,Southwest,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3411,0,Hispanic,0,0,29,12,Other,West,Sharp Weapon,Not fleeing,No,0,0,,41,0.793478261,0.206521739,0.793478261,0.206521739,0.742857143,0.257142857,0.206521739,-0.206521739,0
3412,0,Hispanic,0,0,28,12,Attack,West,Undetermined,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
3413,0,White,0,0,27,12,Attack,Southeast,Other Weapon,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
3414,0,Hispanic,0,0,27,12,Other,Northeast,Gun,Undetermined,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3415,0,White,0,0,27,12,Undetermined,West,Undetermined,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3416,1,Black,0,0,22,12,Other,Southeast,Undetermined,Undetermined,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3417,1,Black,0,0,25,12,Attack,Southeast,Vehicle,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3418,1,Black,0,0,24,12,Attack,Southwest,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3419,0,White,0,0,31,12,Other,Southwest,Sharp Weapon,Not fleeing,No,0,1,,68,0.357142857,0.642857143,0.357142857,0.642857143,0.384615385,0.615384615,0.642857143,-0.642857143,1
3420,1,Black,0,0,31,12,Attack,Midwest,Vehicle,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3421,0,White,0,0,5,1,Attack,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
3422,1,Black,0,0,5,1,Attack,Southeast,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3423,0,White,0,0,5,1,Other,Southwest,Sharp Weapon,Not fleeing,No,0,0,,35,0.67768595,0.32231405,0.67768595,0.32231405,0.475,0.525,0.32231405,-0.32231405,0
3424,0,Hispanic,0,0,5,1,Attack,Southwest,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
